Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson,,Customer_Type
S00001,CU1241,C0214,28-03-2025,3,73293,Installment,Ashley Ramos,,Loyal Customer
S00002,CU0100,C0202,12-02-2024,3,32681,Cash,Pamela Blair,,Loyal Customer
S00003,CU1690,C0228,26-02-2023,2,53531,Credit,Sergio Lee,,Repeating Customer
S00004,CU0534,C0231,21-06-2024,1,89817,Cash,Mary Johnston,,New Customer
S00005,CU1153,C0071,21-12-2023,2,77591,Installment,Ricardo Garcia,,Repeating Customer
S00006,CU0878,C0319,26-06-2025,2,79567,Cash,Chelsea Gonzalez,,Repeating Customer
S00007,CU1113,C0102,08-07-2025,2,65470,Credit,Carol Lopez,,Repeating Customer
S00008,CU1144,C0041,16-02-2025,3,98437,Cash,Alexa Edwards,,Loyal Customer
S00009,CU0134,C0191,26-12-2024,1,79283,Installment,Joe Goodwin,,New Customer
S00010,CU1380,C0413,01-02-2025,3,59005,Installment,Chase Harrison,,Loyal Customer
S00011,CU1361,C0014,14-02-2023,2,60688,Credit,Molly Charles,,Repeating Customer
S00012,CU1155,C0163,18-08-2025,3,60038,Cash,John Kemp,,Loyal Customer
S00013,CU1392,C0302,23-03-2023,3,46669,Installment,Brian Austin,,Loyal Customer
S00014,CU1229,C0451,28-12-2022,1,34808,Credit,Ronald Harmon,,New Customer
S00015,CU0436,C0176,22-02-2024,3,18527,Credit,Dr. Lee Davis PhD,,Loyal Customer
S00016,CU1355,C0324,14-08-2025,1,15500,Installment,Michael Hernandez,,New Customer
S00017,CU1241,C0386,23-05-2025,2,63125,Credit,Jon King,,Repeating Customer
S00018,CU1280,C0260,10-04-2023,2,55074,Cash,Jonathan Woods,,Repeating Customer
S00019,CU1102,C0165,30-04-2025,3,66403,Credit,Margaret Jones,,Loyal Customer
S00020,CU1017,C0343,27-05-2025,2,66795,Cash,Erika Atkinson,,Repeating Customer
S00021,CU0845,C0050,15-06-2025,3,34195,Installment,Kevin Howard,,Loyal Customer
S00022,CU0145,C0276,06-10-2025,3,82651,Installment,Daniel Olson,,Loyal Customer
S00023,CU1526,C0280,13-07-2023,3,30023,Credit,Joel Martinez,,Loyal Customer
S00024,CU1117,C0208,25-07-2025,2,90218,Cash,Lisa Johnson,,Repeating Customer
S00025,CU0813,C0447,13-12-2023,3,20707,Cash,Brittany Anderson,,Loyal Customer
S00026,CU0761,C0335,05-03-2025,3,26312,Installment,Billy Baird,,Loyal Customer
S00027,CU0318,C0157,26-02-2025,1,78873,Installment,Bradley Smith,,New Customer
S00028,CU1026,C0101,11-01-2025,2,41063,Installment,James Webb,,Repeating Customer
S00029,CU0521,C0173,04-09-2024,1,91987,Cash,Deborah Sullivan,,New Customer
S00030,CU0926,C0235,30-10-2024,2,16920,Cash,Ashley Hogan,,Repeating Customer
S00031,CU1198,C0231,16-11-2023,2,23321,Credit,Jason Ortiz,,Repeating Customer
S00032,CU1031,C0148,11-03-2025,1,88622,Credit,Alexis Rodriguez,,New Customer
S00033,CU0650,C0003,19-10-2023,2,61079,Cash,Scott Anderson,,Repeating Customer
S00034,CU0536,C0337,26-04-2025,3,85287,Credit,John Liu,,Loyal Customer
S00035,CU1251,C0476,21-06-2024,1,46382,Installment,Maureen Sims,,New Customer
S00036,CU0138,C0359,06-02-2025,2,24595,Installment,Elizabeth Gomez,,Repeating Customer
S00037,CU1936,C0466,02-08-2023,2,58240,Cash,Clarence Shaw,,Repeating Customer
S00038,CU1142,C0196,24-06-2024,1,28601,Credit,Lisa Scott,,New Customer
S00039,CU1936,C0482,19-03-2025,3,86246,Installment,Molly Olson,,Loyal Customer
S00040,CU0680,C0433,03-09-2025,1,54485,Installment,James Combs,,New Customer
S00041,CU0329,C0017,17-05-2024,1,27261,Credit,Nicole Martin,,New Customer
S00042,CU1752,C0263,05-06-2023,3,55112,Installment,Kristen Cummings,,Loyal Customer
S00043,CU1563,C0237,23-05-2024,2,25490,Installment,Barry Hancock,,Repeating Customer
S00044,CU1454,C0109,08-01-2023,3,28885,Installment,Jerry Clayton,,Loyal Customer
S00045,CU1943,C0282,07-09-2024,1,96873,Installment,Michael Kim,,New Customer
S00046,CU0988,C0452,04-06-2023,3,86185,Cash,Erica Duarte,,Loyal Customer
S00047,CU0027,C0123,04-09-2023,1,15743,Cash,Lisa Thompson,,New Customer
S00048,CU0218,C0223,05-01-2023,2,54597,Credit,Ryan Rogers,,Repeating Customer
S00049,CU1891,C0464,24-12-2023,2,41595,Cash,Manuel Williams,,Repeating Customer
S00050,CU0473,C0430,25-08-2025,1,43961,Installment,Scott Cooper,,New Customer
S00051,CU0368,C0063,28-05-2023,3,44496,Installment,Amanda Sparks,,Loyal Customer
S00052,CU0480,C0454,09-01-2023,2,87401,Installment,Michael Washington,,Repeating Customer
S00053,CU1387,C0252,21-11-2023,3,82095,Installment,Melvin Pope,,Loyal Customer
S00054,CU0550,C0114,07-12-2022,3,60514,Credit,Gregory Washington,,Loyal Customer
S00055,CU1705,C0107,27-12-2023,3,44282,Cash,Timothy Williams,,Loyal Customer
S00056,CU0057,C0189,26-03-2025,1,36971,Credit,Mr. Mario Hernandez,,New Customer
S00057,CU1003,C0182,24-05-2023,2,65085,Cash,Amanda James,,Repeating Customer
S00058,CU0487,C0077,03-09-2024,2,59717,Cash,Amanda Johnson,,Repeating Customer
S00059,CU1471,C0236,06-05-2023,2,69040,Credit,Kimberly Schroeder,,Repeating Customer
S00060,CU1643,C0273,09-01-2023,2,47679,Installment,Kevin Gonzalez,,Repeating Customer
S00061,CU0201,C0055,09-01-2023,2,86074,Cash,Jessica Sandoval,,Repeating Customer
S00062,CU0360,C0018,21-01-2025,2,32340,Cash,Yolanda Howard,,Repeating Customer
S00063,CU1141,C0301,28-03-2025,3,63628,Cash,James Adams,,Loyal Customer
S00064,CU1401,C0499,19-04-2025,3,83399,Credit,Kimberly Carter,,Loyal Customer
S00065,CU0879,C0323,06-04-2025,2,41832,Installment,Sandra Alvarado,,Repeating Customer
S00066,CU0826,C0113,08-03-2024,3,47020,Installment,Angela Torres,,Loyal Customer
